Event_Id,Event_Type,Event_Time(US),Device_Type,Device_Id,Interface_Id,Application_Id,Packet_Id,Segment_Id,Protocol_Name,Subevent_Type,Packet_Size(Bytes),Prev_Event_Id,
1,TIMER_EVENT,0.00,SENSOR,1,0,0,0,0,IPV4,IP_INIT_TABLE,0.00,0,
2,TIMER_EVENT,0.00,SENSOR,2,0,0,0,0,IPV4,IP_INIT_TABLE,0.00,0,
3,TIMER_EVENT,0.00,SINKNODE,3,0,0,0,0,IPV4,IP_INIT_TABLE,0.00,0,
4,TIMER_EVENT,0.00,NONE,0,0,0,0,0,IEEE802.15.4,UNKNOWN_SUB_EVENT,0.00,0,
5,TIMER_EVENT,0.00,SENSOR,1,0,1,1,0,APPLICATION,,50.00,0,
7,APPLICATION_OUT,0.00,SENSOR,1,0,1,1,0,APPLICATION,0,50.00,5,
9,TRANSPORT_OUT,0.00,SENSOR,1,0,1,2,0,UDP,0,50.00,7,
10,NETWORK_OUT,0.00,SENSOR,1,0,1,1,0,IPV4,0,58.00,9,
12,MAC_OUT,0.00,SENSOR,1,1,0,0,0,IEEE802.15.4,0,32.00,10,
13,TIMER_EVENT,640.00,SENSOR,1,1,0,0,0,IEEE802.15.4,CARRIERSENSE_START,32.00,12,
14,TIMER_EVENT,768.00,SENSOR,1,1,0,0,0,IEEE802.15.4,CARRIERSENSE_END,32.00,13,
15,PHYSICAL_OUT,960.00,SENSOR,1,1,0,,0,IEEE802.15.4,0,37.00,14,
16,PHYSICAL_IN,2336.00,SENSOR,2,1,0,,0,IEEE802.15.4,0,43.00,15,
17,PHYSICAL_IN,2336.00,SINKNODE,3,1,0,,0,IEEE802.15.4,0,43.00,15,
19,MAC_IN,2336.00,SENSOR,2,1,0,,0,IEEE802.15.4,0,37.00,16,
20,MAC_IN,2336.00,SINKNODE,3,1,0,,0,IEEE802.15.4,0,37.00,17,
21,NETWORK_IN,2336.00,SENSOR,2,1,0,,0,IPV4,0,32.00,19,
22,NETWORK_IN,2336.00,SINKNODE,3,1,0,,0,IPV4,0,32.00,20,
18,TIMER_EVENT,2337.00,SENSOR,1,1,0,0,0,IEEE802.15.4,UPDATE_MEDIUM,43.00,15,
24,NETWORK_OUT,4004.00,SINKNODE,3,1,0,,0,DSR,0,11.00,22,
25,MAC_OUT,4004.00,SINKNODE,3,1,0,0,0,IEEE802.15.4,0,31.00,24,
26,TIMER_EVENT,5284.00,SINKNODE,3,1,0,0,0,IEEE802.15.4,CARRIERSENSE_START,31.00,25,
27,TIMER_EVENT,5412.00,SINKNODE,3,1,0,0,0,IEEE802.15.4,CARRIERSENSE_END,31.00,26,
28,PHYSICAL_OUT,5604.00,SINKNODE,3,1,0,,0,IEEE802.15.4,0,36.00,27,
29,PHYSICAL_IN,6948.00,SENSOR,1,1,0,,0,IEEE802.15.4,0,42.00,28,
32,MAC_IN,6948.00,SENSOR,1,1,0,,0,IEEE802.15.4,0,36.00,29,
34,NETWORK_IN,6948.00,SENSOR,1,1,0,,0,IPV4,0,31.00,32,
35,NETWORK_OUT,6948.00,SENSOR,1,1,1,1,0,IPV4,0,58.00,34,
37,MAC_OUT,6948.00,SENSOR,1,1,1,1,0,IEEE802.15.4,0,86.00,35,
31,TIMER_EVENT,6949.00,SINKNODE,3,1,0,0,0,IEEE802.15.4,UPDATE_MEDIUM,42.00,28,
33,PHYSICAL_OUT,7140.00,SENSOR,1,1,0,,0,IEEE802.15.4,0,5.00,32,
38,PHYSICAL_IN,7332.00,SINKNODE,3,1,0,,0,IEEE802.15.4,0,6.00,33,
40,MAC_IN,7332.00,SINKNODE,3,1,0,,0,IEEE802.15.4,0,5.00,38,
39,TIMER_EVENT,7333.00,SENSOR,1,1,0,0,0,IEEE802.15.4,UPDATE_MEDIUM,6.00,33,
41,MAC_OUT,7973.00,SENSOR,1,1,1,1,0,IEEE802.15.4,0,86.00,39,
30,TIMER_EVENT,8016.80,SINKNODE,3,1,0,0,0,IEEE802.15.4,ACK_TIMEOUT,36.00,28,
42,TIMER_EVENT,8293.00,SENSOR,1,1,1,1,0,IEEE802.15.4,CARRIERSENSE_START,86.00,41,
43,TIMER_EVENT,8421.00,SENSOR,1,1,1,1,0,IEEE802.15.4,CARRIERSENSE_END,86.00,42,
